,0,1,2,3,4,5,6,7,8,9
40,xiv,final fantasy,fantasy,final,fantasy xiv,the,of,to,and,you
41,total war,war,warhammer,total,the,units,and,to,in,of
42,terraria,terraria is,minecraft,and,bosses,you,of,is,game,to
43,wow,warcraft,mmo,of warcraft,world of,this,than wow,wow for,this game,better
44,arma,arma is,and,the,is,you,of,with,mods,to
45,dating,prom,dating sim,monster,monster prom,sim,characters,the,with,date
46,strategy,strategy game,strategy games,grand strategy,grand,games,game,best strategy,best,of
47,pc,ps4,on,on pc,xbox,on ps4,it on,it,played,hours
48,dinosaurs,dinos,ark,park,dino,dinosaur,to,and,you,the
49,mars,colony,colonists,dome,to,surviving mars,surviving,and,the,domes
50,northgard,rts,northgard is,to,the,clans,of,and,clan,is
51,you,to,the,and,is,class,of,level,classes,for
52,metroidvania,metroidvanias,of,the,and,this,is,game,bosses,of the
53,cat,10,girl,girls,catgirl,my,her,catgirls,woman,female
54,combat,the combat,story,combat is,is,the,game,and,great,fighting
55,ship,space,ships,to,you,the,sky,and,of,no mans
56,quests,quest,side quests,side,main,the main,to,the,game,do
57,subscription,pay,monthly,for,to pay,trial,free,game,sub,to
58,coop,coop game,fun,game,friends,great coop,with,coop games,in coop,play
59,portia,at portia,time at,my time,stardew,time,at,portia is,and,stardew valley
60,woods,the woods,night in,night,woods is,in the,in,the,and,of
61,minecraft,2d,minecraft but,like minecraft,2d minecraft,of minecraft,minecraft and,game,bosses,this
62,knight,hollow knight,hollow,knight is,the,and,of,you,is,to
63,de,que,jogo,es,um,para,un,la,juego,mas
64,updates,devs,update,the devs,new,game,cant wait,this game,more,content
65,youtubers,youtuber,channel,youtubers life,life,videos,youtube,to,video,game
66,civ,age of,empires,age,civilization,of empires,empire,game,strategy,like
67,trains,train,track,railway,railroad,tycoon,the,to,and,is
68,puzzles,puzzle,the puzzles,were here,we were,were,we,the first,puzzles are,puzzle game
69,yakuza,steins,steins gate,gate,the,story,of,and,is,in
70,survival,survival game,survival games,friends,best survival,game,with friends,with,you,games
71,controller,controls,keyboard,the controls,mouse,game,to,the,but,xbox
72,of iron,hearts of,hearts,iron,hoi4,hoi,of,iv,the,to
73,football,team,fm,manager,baseball,players,the,football manager,teams,is
74,pros,cons,you,fun,to,and,can,of,great,with
75,ff14,mmo,and,final fantasy,the,of,final,fantasy 14,to,fantasy
76,sims,the sims,simulator,this,it,is,fun,simulation,game,like
77,kingdom,island,the,lands,new lands,archers,crowns,to,two crowns,and
78,clans,clan,conquest,different,mode,different clans,campaign,to,the,fun
79,early access,early,access,access game,game,it,is,this,access games,in early
80,classes,class,character,one character,the classes,fun,all classes,leveling,one,all
81,sandbox,sandbox game,sandbox games,sandbox mode,game,mode,it,the sandbox,this,with
82,average,bugs,bad,good,grind,price,good good,easy,long,hours
83,addictive,addicting,addicted,very addictive,this game,to,addiction,this,very,game
84,horror,horror game,puzzles,horror games,story,atmosphere,the,and,it,this
85,payday,payday is,de,shoot,shoot shoot,heist,heists,le,et,the
86,h1,list,the,to,and,you,of,is,in,are
87,jrpg,jrpgs,of,the,and,combat,story,but,is,that
88,mae,her,characters,town,she,the,and,in,to,of
89,refund,download,to download,error,steam,download the,patch,to,game,unable to
90,microtransactions,overkill,they,skins,dlc,the microtransactions,payday,this,the,for
91,lots and,and lots,lots,roguelike,roguelikes,rogue,and,of,of rogue,this
92,replayability,replay,replay value,value,replayable,of replayability,game,fun,great,and
93,viking,vikings,norse,mythology,you,and,norse mythology,clan,to,game
94,stellaris,stellaris is,empire,of,the,4x,paradox,to,and,space
95,relaxing,calming,relax,chill,play,relaxing and,fun,very relaxing,calm,game
96,detention,horror,taiwanese,taiwan,detention is,the,in,of,story,is
97,turn based,turn,based,turnbased,based strategy,based games,strategy,based game,game,this
98,hard,fun,difficulty,game,challenge,game is,but,unfair,difficult,is
99,gg bethesda,bethesda gg,gg,bethesda,bugs,game,bethesda game,this,this game,buggy
100,boss,bosses,game,this game,this,fights,boss fights,beat,you,is
101,great,game,graphics,love,this game,it,this,recommend,great game,fun
102,voice,acting,voice acting,the voice,the,to,is,that,acting is,and
103,kuni,ni no,no kuni,ni,no,kingdom,the,and,story,is
104,ai,the ai,ai is,game,is,but,they,you,the,this
105,stealth,stealth game,game,you,tactical,to,is,way,and,the
106,square,enix,square enix,is,game,the,fantasy,final fantasy,final,and
107,map,maps,at map,the map,oll,game,fun,map painting,painting,map and
108,solo,friends,with friends,fun,play,to play,with,game solo,game,solo is
109,mods,original,the original,mod,version,better,looks,graphics,than the,it
110,rpg,rpgs,the best,best,best rpg,one of,ever,one,rpg game,best rpgs
111,open world,open,world,the open,best open,game,is,best,world games,games
112,fishing,fish,boat,boats,the,to,sails,and,in,sea
113,chinese,translation,korean,language,english,china,localization,ng,01,translate
114,boring,bored,this game,game,this,gets boring,it,get bored,gets,repetitive
